name,faith,intelligence,adjustment
Beatrice's Catalyst,0,13,110
Beatrice's Catalyst,0,14,111
Beatrice's Catalyst,0,15,112
Beatrice's Catalyst,0,16,113
Beatrice's Catalyst,0,17,114
Beatrice's Catalyst,0,18,119
Beatrice's Catalyst,0,19,125
Beatrice's Catalyst,0,20,130
Beatrice's Catalyst,0,21,136
Beatrice's Catalyst,0,22,142
Beatrice's Catalyst,0,23,147
Beatrice's Catalyst,0,24,153
Beatrice's Catalyst,0,25,158
Beatrice's Catalyst,0,26,164
Beatrice's Catalyst,0,27,170
Beatrice's Catalyst,0,28,175
Beatrice's Catalyst,0,29,181
Beatrice's Catalyst,0,30,186
Beatrice's Catalyst,0,31,192
Beatrice's Catalyst,0,32,198
Beatrice's Catalyst,0,33,199
Beatrice's Catalyst,0,34,200
Beatrice's Catalyst,0,35,202
Beatrice's Catalyst,0,36,203
Beatrice's Catalyst,0,37,205
Beatrice's Catalyst,0,38,206
Beatrice's Catalyst,0,39,207
Beatrice's Catalyst,0,40,209
Beatrice's Catalyst,0,41,210
Beatrice's Catalyst,0,42,211
Beatrice's Catalyst,0,43,213
Beatrice's Catalyst,0,44,214
Beatrice's Catalyst,0,45,216
Beatrice's Catalyst,0,46,217
Beatrice's Catalyst,0,47,219
Beatrice's Catalyst,0,48,220
Beatrice's Catalyst,0,49,221
Beatrice's Catalyst,0,50,223
Beatrice's Catalyst,0,51,224
Beatrice's Catalyst,0,52,226
Beatrice's Catalyst,0,53,226
Beatrice's Catalyst,0,54,226
Beatrice's Catalyst,0,55,226
Beatrice's Catalyst,0,56,227
Beatrice's Catalyst,0,57,227
Beatrice's Catalyst,0,58,227
Beatrice's Catalyst,0,59,228
Beatrice's Catalyst,0,60,228
Beatrice's Catalyst,0,61,228
Beatrice's Catalyst,0,62,228
Beatrice's Catalyst,0,63,229
Beatrice's Catalyst,0,64,229
Beatrice's Catalyst,0,65,229
Beatrice's Catalyst,0,66,230
Beatrice's Catalyst,0,67,230
Beatrice's Catalyst,0,68,230
Beatrice's Catalyst,0,69,230
Beatrice's Catalyst,0,70,231
Beatrice's Catalyst,0,71,231
Beatrice's Catalyst,0,72,231
Beatrice's Catalyst,0,73,232
Beatrice's Catalyst,0,74,232
Beatrice's Catalyst,0,75,232
Beatrice's Catalyst,0,76,232
Beatrice's Catalyst,0,77,233
Beatrice's Catalyst,0,78,233
Beatrice's Catalyst,0,79,233
Beatrice's Catalyst,0,80,233
Beatrice's Catalyst,0,81,234
Beatrice's Catalyst,0,82,234
Beatrice's Catalyst,0,83,234
Beatrice's Catalyst,0,84,235
Beatrice's Catalyst,0,85,235
Beatrice's Catalyst,0,86,235
Beatrice's Catalyst,0,87,236
Beatrice's Catalyst,0,88,236
Beatrice's Catalyst,0,89,236
Beatrice's Catalyst,0,90,236
Beatrice's Catalyst,0,91,237
Beatrice's Catalyst,0,92,237
Beatrice's Catalyst,0,93,237
Beatrice's Catalyst,0,94,237
Beatrice's Catalyst,0,95,238
Beatrice's Catalyst,0,96,238
Beatrice's Catalyst,0,97,238
Beatrice's Catalyst,0,98,239
Beatrice's Catalyst,0,99,239
Demon's Catalyst,0,13,107
Demon's Catalyst,0,14,107
Demon's Catalyst,0,15,108
Demon's Catalyst,0,16,109
Demon's Catalyst,0,17,110
Demon's Catalyst,0,18,114
Demon's Catalyst,0,19,118
Demon's Catalyst,0,20,122
Demon's Catalyst,0,21,126
Demon's Catalyst,0,22,130
Demon's Catalyst,0,23,134
Demon's Catalyst,0,24,138
Demon's Catalyst,0,25,142
Demon's Catalyst,0,26,146
Demon's Catalyst,0,27,150
Demon's Catalyst,0,28,154
Demon's Catalyst,0,29,158
Demon's Catalyst,0,30,162
Demon's Catalyst,0,31,166
Demon's Catalyst,0,32,170
Demon's Catalyst,0,33,171
Demon's Catalyst,0,34,172
Demon's Catalyst,0,35,173
Demon's Catalyst,0,36,174
Demon's Catalyst,0,37,175
Demon's Catalyst,0,38,176
Demon's Catalyst,0,39,177
Demon's Catalyst,0,40,178
Demon's Catalyst,0,41,179
Demon's Catalyst,0,42,180
Demon's Catalyst,0,43,181
Demon's Catalyst,0,44,182
Demon's Catalyst,0,45,183
Demon's Catalyst,0,46,183
Demon's Catalyst,0,47,185
Demon's Catalyst,0,48,186
Demon's Catalyst,0,49,187
Demon's Catalyst,0,50,188
Demon's Catalyst,0,51,189
Demon's Catalyst,0,52,190
Demon's Catalyst,0,53,190
Demon's Catalyst,0,54,190
Demon's Catalyst,0,55,190
Demon's Catalyst,0,56,190
Demon's Catalyst,0,57,191
Demon's Catalyst,0,58,191
Demon's Catalyst,0,59,191
Demon's Catalyst,0,60,191
Demon's Catalyst,0,61,191
Demon's Catalyst,0,62,192
Demon's Catalyst,0,63,192
Demon's Catalyst,0,64,192
Demon's Catalyst,0,65,192
Demon's Catalyst,0,66,192
Demon's Catalyst,0,67,193
Demon's Catalyst,0,68,193
Demon's Catalyst,0,69,193
Demon's Catalyst,0,70,193
Demon's Catalyst,0,71,193
Demon's Catalyst,0,72,194
Demon's Catalyst,0,73,194
Demon's Catalyst,0,74,194
Demon's Catalyst,0,75,194
Demon's Catalyst,0,76,194
Demon's Catalyst,0,77,195
Demon's Catalyst,0,78,195
Demon's Catalyst,0,79,195
Demon's Catalyst,0,80,195
Demon's Catalyst,0,81,195
Demon's Catalyst,0,82,196
Demon's Catalyst,0,83,196
Demon's Catalyst,0,84,196
Demon's Catalyst,0,85,196
Demon's Catalyst,0,86,196
Demon's Catalyst,0,87,197
Demon's Catalyst,0,88,197
Demon's Catalyst,0,89,197
Demon's Catalyst,0,90,197
Demon's Catalyst,0,91,197
Demon's Catalyst,0,92,198
Demon's Catalyst,0,93,198
Demon's Catalyst,0,94,198
Demon's Catalyst,0,95,198
Demon's Catalyst,0,96,198
Demon's Catalyst,0,97,199
Demon's Catalyst,0,98,199
Demon's Catalyst,0,99,199
Izalith Catalyst,0,13,110
Izalith Catalyst,0,14,111
Izalith Catalyst,0,15,112
Izalith Catalyst,0,16,113
